thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.707062,0.807479,-0.015311;0.686610,0.709561,-0.020171;0.693650,0.635006,-0.026730;0.692307,0.567940,-0.033068","0.736305,0.624388,0.008108;0.751176,0.551946,-0.008829;0.768593,0.505561,-0.027004;0.785781,0.462583,-0.040873","0.765241,0.623346,-0.000365;0.782031,0.529529,-0.015045;0.795913,0.465625,-0.032001;0.807529,0.409429,-0.044180","0.789866,0.641790,-0.014118;0.797886,0.547735,-0.032961;0.801802,0.488453,-0.046888;0.804638,0.437110,-0.055521","0.813885,0.673102,-0.030363;0.813109,0.596106,-0.049346;0.808617,0.545987,-0.059307;0.803201,0.502279,-0.065645",pinky5,index2
"0.709347,0.811451,-0.023390;0.679417,0.728710,-0.032434;0.684313,0.651061,-0.040188;0.679337,0.580122,-0.047309","0.716746,0.620561,-0.011759;0.703238,0.525930,-0.028848;0.698601,0.470570,-0.043483;0.696560,0.418502,-0.054495","0.757293,0.613296,-0.016628;0.757494,0.511565,-0.032818;0.761004,0.449824,-0.049301;0.765691,0.394860,-0.061439","0.791343,0.629041,-0.026154;0.809818,0.541214,-0.046945;0.823587,0.482214,-0.062193;0.833998,0.428539,-0.071897","0.821102,0.657887,-0.037973;0.824175,0.578986,-0.056212;0.824010,0.529040,-0.064245;0.822314,0.483103,-0.069679",ring4,pinky5
"0.705308,0.802977,-0.027358;0.674229,0.720411,-0.037536;0.674658,0.644814,-0.044778;0.667778,0.580176,-0.050126","0.717547,0.615020,-0.015041;0.709497,0.521799,-0.028837;0.710273,0.460624,-0.041159;0.713420,0.410784,-0.050450","0.756539,0.609006,-0.013951;0.765990,0.509935,-0.022499;0.776844,0.447166,-0.031563;0.787023,0.400518,-0.038307","0.791829,0.622817,-0.017362;0.792419,0.526859,-0.027939;0.792416,0.469700,-0.034963;0.793156,0.421287,-0.040683","0.827942,0.652685,-0.023960;0.842085,0.584126,-0.034024;0.848865,0.542335,-0.037406;0.852323,0.504944,-0.039882",middle3,ring4
"0.711837,0.802982,-0.020102;0.679878,0.717838,-0.026583;0.682051,0.638957,-0.032766;0.681696,0.569624,-0.037617","0.718602,0.629262,0.004394;0.721990,0.543807,-0.006742;0.727782,0.488222,-0.018786;0.734897,0.442280,-0.028028","0.752146,0.622241,0.001773;0.751067,0.528538,-0.007016;0.752743,0.467227,-0.018912;0.755061,0.417523,-0.027204","0.785349,0.630479,-0.005682;0.783552,0.539095,-0.017600;0.780585,0.478120,-0.028160;0.777483,0.426159,-0.035478","0.821903,0.651708,-0.015721;0.830740,0.579679,-0.026875;0.834468,0.534435,-0.032240;0.835990,0.493980,-0.035867",index2,ring4
"0.715953,0.814791,-0.025543;0.691098,0.733916,-0.036529;0.701183,0.659215,-0.045989;0.706822,0.592354,-0.053858","0.737372,0.631331,-0.007871;0.751395,0.544551,-0.025205;0.764008,0.488002,-0.041796;0.777197,0.440803,-0.053540","0.771520,0.628306,-0.009164;0.778378,0.529453,-0.023258;0.784716,0.465416,-0.037802;0.789831,0.411989,-0.047602","0.804247,0.641381,-0.015285;0.809778,0.545738,-0.030493;0.812022,0.484250,-0.041340;0.812543,0.431159,-0.048267","0.839205,0.668458,-0.024464;0.850233,0.592264,-0.037791;0.855020,0.543278,-0.043517;0.856433,0.498499,-0.046703",index2,ring4
"0.710875,0.793069,-0.021612;0.686661,0.705996,-0.030537;0.698715,0.634631,-0.040795;0.729913,0.597166,-0.048177","0.700588,0.625158,-0.005838;0.689317,0.539821,-0.019665;0.686326,0.490403,-0.028092;0.683150,0.449162,-0.034102","0.735529,0.617344,-0.007628;0.742414,0.525287,-0.029672;0.744447,0.467426,-0.044094;0.747522,0.423190,-0.051812","0.767288,0.626684,-0.013006;0.760657,0.555554,-0.039778;0.740361,0.594820,-0.040714;0.727792,0.632992,-0.033015","0.797102,0.642864,-0.020878;0.800184,0.573453,-0.039046;0.798635,0.529082,-0.041992;0.795736,0.487805,-0.040474",thumb1,ring4
"0.696866,0.795030,-0.019719;0.666861,0.705374,-0.025125;0.669305,0.624504,-0.029350;0.667949,0.559589,-0.032632","0.719061,0.612384,-0.003140;0.734638,0.534639,-0.016113;0.751082,0.489253,-0.029617;0.767490,0.451371,-0.039543","0.754895,0.610893,-0.006024;0.773201,0.520460,-0.014825;0.787120,0.463778,-0.026078;0.799839,0.418677,-0.034736","0.785906,0.625903,-0.013499;0.803699,0.535250,-0.026408;0.814767,0.478586,-0.036936;0.824654,0.428424,-0.044508","0.816306,0.654385,-0.023302;0.839169,0.581694,-0.036967;0.854136,0.535484,-0.043437;0.866917,0.493022,-0.047736",middle3,pinky5
"0.712984,0.789453,-0.018322;0.687174,0.698011,-0.026711;0.706255,0.625264,-0.036048;0.752766,0.602254,-0.043429","0.709350,0.624185,-0.009132;0.705097,0.538980,-0.020052;0.705439,0.491898,-0.026311;0.704717,0.452258,-0.032053","0.745601,0.616789,-0.011240;0.758896,0.528817,-0.030566;0.758042,0.475049,-0.043348;0.756795,0.431620,-0.051053","0.778850,0.624921,-0.015676;0.780700,0.552468,-0.039697;0.756448,0.593456,-0.040350;0.739491,0.633396,-0.033928","0.810140,0.642005,-0.021973;0.818359,0.576614,-0.039440;0.821223,0.532570,-0.043241;0.823937,0.491836,-0.043133",ring4,thumb1
"0.723668,0.778128,-0.016548;0.702053,0.687754,-0.021488;0.714484,0.614479,-0.027251;0.749658,0.591579,-0.030101","0.714795,0.623523,0.003264;0.705632,0.548098,-0.003873;0.703296,0.505130,-0.008580;0.702642,0.470530,-0.011726","0.748033,0.617119,0.002474;0.760934,0.535985,-0.008742;0.767322,0.481871,-0.018547;0.774566,0.440357,-0.023871","0.778961,0.626302,-0.001406;0.777320,0.571503,-0.018066;0.757385,0.594499,-0.019658;0.743811,0.621157,-0.014379","0.808900,0.642333,-0.007136;0.811136,0.581997,-0.016017;0.811385,0.544436,-0.015033;0.811017,0.514150,-0.011904",thumb1,ring4
"0.725709,0.787129,-0.022789;0.705006,0.696205,-0.030777;0.722464,0.622690,-0.039205;0.765995,0.601779,-0.045272","0.718231,0.621263,-0.003893;0.713892,0.531980,-0.017295;0.715167,0.478644,-0.026100;0.717317,0.436419,-0.030982","0.753499,0.616031,-0.003130;0.769438,0.524382,-0.018343;0.779640,0.466556,-0.029103;0.789119,0.420431,-0.034208","0.785523,0.626725,-0.006362;0.788218,0.565686,-0.027398;0.771060,0.589198,-0.029881;0.760317,0.613901,-0.023541","0.814660,0.644941,-0.012028;0.818134,0.579607,-0.022510;0.817909,0.537091,-0.021348;0.818394,0.501011,-0.017469",thumb1,ring4
