thumb,index,middle,ring,pinky,top_finger,bottom_finger
"0.654276,0.801245,-0.015607;0.634035,0.709384,-0.020263;0.648487,0.633281,-0.025818;0.660434,0.570556,-0.029823","0.678360,0.619622,0.007080;0.688218,0.538987,-0.006374;0.698325,0.484006,-0.020918;0.709583,0.439703,-0.031658","0.706235,0.616081,0.001717;0.708368,0.525771,-0.008973;0.712034,0.465272,-0.020544;0.716702,0.417592,-0.027974","0.735072,0.629286,-0.008369;0.736350,0.536245,-0.021204;0.737166,0.474103,-0.029346;0.738564,0.421620,-0.034457","0.767968,0.657880,-0.021146;0.777835,0.585956,-0.033251;0.779679,0.538611,-0.037623;0.778266,0.497270,-0.039763",index2,middle3
"0.673651,0.786535,-0.009311;0.663693,0.686269,-0.008238;0.684060,0.613114,-0.010358;0.700656,0.552041,-0.012106","0.712104,0.617245,0.026835;0.729871,0.548853,0.020135;0.747363,0.501636,0.008284;0.765186,0.462031,-0.001498","0.739131,0.618885,0.019300;0.756096,0.540534,0.015344;0.770730,0.488045,0.004328;0.785766,0.443162,-0.004240","0.762206,0.634746,0.006383;0.774315,0.553372,-0.002051;0.782380,0.500117,-0.010507;0.789525,0.455721,-0.016256","0.783055,0.659742,-0.009191;0.784056,0.582558,-0.019499;0.780318,0.534741,-0.024854;0.774926,0.495647,-0.028283",index2,pinky5
"0.650872,0.807743,-0.022165;0.618615,0.718045,-0.029917;0.617263,0.639192,-0.036533;0.613857,0.567129,-0.042080","0.670452,0.617875,-0.003051;0.670373,0.528060,-0.017410;0.674098,0.473527,-0.032359;0.678972,0.423779,-0.043849","0.712382,0.611203,-0.007490;0.719659,0.513518,-0.018293;0.727547,0.449285,-0.032930;0.734746,0.396590,-0.044437","0.746636,0.627220,-0.016920;0.763023,0.537898,-0.031489;0.776892,0.478102,-0.044347;0.787691,0.426182,-0.053633","0.776132,0.657576,-0.028973;0.781087,0.580342,-0.043911;0.779777,0.530652,-0.051100;0.776083,0.486551,-0.056112",ring4,pinky5
"0.667764,0.796018,-0.014338;0.654203,0.705438,-0.017770;0.683360,0.637259,-0.021136;0.727249,0.608503,-0.025347","0.683236,0.622223,-0.000101;0.687678,0.529937,-0.008932;0.696859,0.473183,-0.017013;0.705641,0.426114,-0.025564","0.723222,0.626010,-0.007977;0.753390,0.533558,-0.014684;0.777234,0.479808,-0.024825;0.794839,0.434942,-0.033690","0.754256,0.650213,-0.019933;0.782621,0.554396,-0.042449;0.798792,0.493254,-0.065326;0.811279,0.442185,-0.081488","0.779370,0.687062,-0.032099;0.767546,0.628419,-0.063436;0.738022,0.637159,-0.078078;0.711056,0.655699,-0.087237",thumb1,pinky5
"0.648313,0.800653,-0.017406;0.609742,0.722102,-0.028611;0.605207,0.648685,-0.041531;0.646861,0.623414,-0.051735","0.659675,0.632375,0.000527;0.661563,0.564066,-0.032346;0.649349,0.577336,-0.058784;0.639937,0.608334,-0.070949","0.697020,0.619661,-0.004416;0.706044,0.522403,-0.017159;0.709616,0.463279,-0.026655;0.712160,0.415696,-0.031970","0.734827,0.632632,-0.016084;0.747141,0.546538,-0.029354;0.754543,0.496094,-0.035105;0.757697,0.453092,-0.037109","0.770115,0.666232,-0.030522;0.790306,0.609811,-0.037979;0.802223,0.577393,-0.035504;0.810872,0.550565,-0.032212",index2,thumb1
"0.650558,0.824439,-0.013306;0.623100,0.728597,-0.015824;0.624937,0.649659,-0.020383;0.622393,0.584895,-0.024624","0.662445,0.639766,0.011011;0.669033,0.555010,-0.002017;0.677879,0.499152,-0.015865;0.688719,0.451630,-0.026199","0.692588,0.632949,0.003947;0.705760,0.537743,-0.006965;0.714631,0.473749,-0.020677;0.722549,0.419109,-0.030295","0.720217,0.642480,-0.007914;0.717629,0.549827,-0.021664;0.713399,0.491961,-0.032203;0.710572,0.443677,-0.038850","0.746086,0.662943,-0.022320;0.731567,0.588542,-0.036539;0.720298,0.539696,-0.043606;0.710772,0.499282,-0.047795",index2,pinky5
"0.655703,0.789278,-0.007186;0.636807,0.691087,-0.008162;0.651558,0.617247,-0.011973;0.688702,0.582815,-0.015361","0.693340,0.624734,0.023224;0.706579,0.543071,0.020686;0.713507,0.492355,0.011742;0.719772,0.446046,0.000872","0.726309,0.627910,0.014320;0.730410,0.557303,-0.004167;0.712326,0.544562,-0.021086;0.696356,0.552131,-0.027347","0.758011,0.642036,0.001995;0.770757,0.557761,-0.007990;0.772678,0.495460,-0.019384;0.774110,0.444914,-0.027382","0.791204,0.670694,-0.011966;0.814892,0.620352,-0.014976;0.828607,0.588240,-0.017442;0.838718,0.562378,-0.020899",middle3,thumb1
"0.654640,0.814517,-0.027650;0.626124,0.735629,-0.040484;0.629873,0.664470,-0.051522;0.634691,0.599128,-0.060933","0.678857,0.632139,-0.011533;0.691070,0.544817,-0.030696;0.698999,0.485539,-0.048544;0.706744,0.436346,-0.061170","0.711653,0.629542,-0.012265;0.714713,0.532969,-0.028391;0.713915,0.465576,-0.043771;0.711994,0.409430,-0.053856","0.744040,0.643353,-0.017892;0.746469,0.548518,-0.034125;0.744058,0.485484,-0.045305;0.740632,0.432518,-0.052222","0.778234,0.672341,-0.026871;0.789417,0.599616,-0.041084;0.792411,0.552012,-0.047341;0.792325,0.509630,-0.050532",index2,ring4
"0.676167,0.793930,-0.023733;0.661597,0.701792,-0.033424;0.674866,0.627066,-0.043355;0.713353,0.588073,-0.049766","0.694966,0.617361,-0.004781;0.701512,0.526716,-0.014378;0.708038,0.476932,-0.018777;0.714262,0.435478,-0.022026","0.730560,0.618810,-0.004549;0.753200,0.527715,-0.021758;0.764408,0.467094,-0.034409;0.774709,0.421148,-0.041227","0.761848,0.637156,-0.008118;0.761024,0.568768,-0.032844;0.730715,0.598537,-0.036817;0.709688,0.628571,-0.031504","0.790354,0.660153,-0.013898;0.802928,0.589918,-0.031747;0.808503,0.546003,-0.037429;0.812801,0.505469,-0.038053",thumb1,ring4
"0.663065,0.793229,-0.015191;0.634063,0.700082,-0.024477;0.639442,0.627478,-0.035617;0.683216,0.606917,-0.045750","0.691413,0.624034,0.010266;0.706003,0.536559,-0.001890;0.712074,0.484479,-0.014781;0.722206,0.439058,-0.027041","0.725037,0.626708,0.003666;0.729764,0.557496,-0.027420;0.706667,0.568361,-0.044096;0.691830,0.597446,-0.045818","0.758353,0.639411,-0.007215;0.768217,0.555285,-0.021955;0.767226,0.495707,-0.028866;0.769982,0.447591,-0.031340","0.792399,0.668580,-0.020675;0.809475,0.615871,-0.022834;0.818159,0.581094,-0.021375;0.826504,0.551979,-0.020984",middle3,thumb1
"0.647964,0.830330,-0.026489;0.627185,0.742853,-0.039534;0.642514,0.669927,-0.051636;0.658070,0.603197,-0.061689","0.677925,0.636828,-0.010701;0.695564,0.549217,-0.032506;0.712709,0.492670,-0.051996;0.731227,0.443094,-0.065628","0.710079,0.636681,-0.014112;0.724825,0.533117,-0.034145;0.738788,0.461626,-0.051313;0.752726,0.399442,-0.062147","0.740653,0.655780,-0.022768;0.744696,0.559241,-0.044805;0.742610,0.496887,-0.056848;0.743235,0.442606,-0.062992","0.774712,0.690797,-0.034748;0.791599,0.610281,-0.052841;0.798952,0.559155,-0.059706;0.803773,0.512148,-0.063086",index2,ring4
"0.635417,0.830246,-0.015787;0.622541,0.742397,-0.018700;0.655481,0.690806,-0.020346;0.695652,0.661201,-0.023676","0.644240,0.636220,-0.002110;0.648572,0.539569,-0.011006;0.656478,0.474891,-0.020184;0.662812,0.420597,-0.029751","0.688174,0.635931,-0.010706;0.708843,0.535730,-0.019367;0.726046,0.472580,-0.031815;0.739370,0.419325,-0.041810","0.723739,0.658827,-0.023117;0.748671,0.561448,-0.048583;0.762834,0.495821,-0.072566;0.776976,0.437125,-0.089279","0.753147,0.701425,-0.035585;0.738345,0.649376,-0.069807;0.709737,0.682172,-0.080632;0.688335,0.719640,-0.086418",thumb1,pinky5
"0.628308,0.858037,-0.036536;0.598456,0.771073,-0.055793;0.605209,0.698091,-0.071820;0.614001,0.628050,-0.086384","0.664238,0.654802,-0.024263;0.692926,0.562956,-0.049573;0.717871,0.510156,-0.071673;0.743311,0.464275,-0.087818","0.705003,0.668731,-0.024550;0.743433,0.587656,-0.046929;0.776206,0.541005,-0.066322;0.807337,0.497836,-0.081234","0.735517,0.698476,-0.031225;0.768761,0.618716,-0.056613;0.796138,0.566901,-0.073790;0.822290,0.520072,-0.085952","0.760564,0.738332,-0.041381;0.777420,0.672514,-0.064186;0.788657,0.634540,-0.075486;0.798964,0.597639,-0.083662",pinky5,middle3
"0.653584,0.816587,-0.023243;0.645499,0.723459,-0.035030;0.670884,0.659494,-0.046749;0.708887,0.619680,-0.055645","0.669278,0.627743,-0.017740;0.676638,0.526287,-0.031313;0.684758,0.468505,-0.037428;0.693047,0.421414,-0.040489","0.709751,0.633334,-0.018426;0.739060,0.531368,-0.039000;0.756594,0.464679,-0.052500;0.773977,0.412333,-0.058774","0.744001,0.656552,-0.021697;0.742578,0.596669,-0.049734;0.710765,0.644961,-0.051741;0.691141,0.686451,-0.042965","0.774007,0.682664,-0.026974;0.786591,0.606147,-0.046061;0.789014,0.557132,-0.048655;0.790628,0.512029,-0.045870",thumb1,ring4
"0.633032,0.835090,-0.022285;0.620457,0.742778,-0.031850;0.641012,0.675930,-0.041735;0.659543,0.612888,-0.050713","0.682828,0.635847,0.002700;0.705358,0.558558,-0.015278;0.726817,0.508724,-0.035179;0.749824,0.466649,-0.050524","0.712232,0.641764,-0.003094;0.735835,0.550523,-0.017737;0.755444,0.491449,-0.035944;0.774813,0.440236,-0.049689","0.734307,0.666268,-0.014659;0.751705,0.575476,-0.032455;0.762225,0.516013,-0.046785;0.774120,0.464797,-0.056805","0.755200,0.705641,-0.029539;0.763994,0.628118,-0.047572;0.765799,0.576957,-0.057816;0.766436,0.530437,-0.064872",pinky5,index2
"0.628196,0.833279,-0.027975;0.600020,0.738806,-0.037453;0.607943,0.656185,-0.044578;0.612584,0.584723,-0.050099","0.661749,0.631069,-0.004948;0.677009,0.541748,-0.020318;0.693795,0.490109,-0.036221;0.711196,0.446613,-0.048046","0.702825,0.633824,-0.005374;0.727894,0.538885,-0.017023;0.746148,0.480467,-0.030952;0.761747,0.431628,-0.041581","0.734930,0.654254,-0.011629;0.757171,0.562849,-0.026814;0.770268,0.502144,-0.038363;0.782530,0.447837,-0.046568","0.763974,0.687276,-0.021214;0.788016,0.613630,-0.036230;0.802851,0.565368,-0.043203;0.816083,0.519141,-0.047758",ring4,middle3
"0.627474,0.818128,-0.018317;0.592803,0.734211,-0.027723;0.593211,0.656316,-0.039949;0.632695,0.622743,-0.050138","0.648108,0.652221,0.013818;0.644758,0.586391,-0.018890;0.633672,0.610839,-0.048485;0.627403,0.647492,-0.063374","0.687267,0.638070,0.008835;0.691206,0.549428,-0.005395;0.685047,0.494940,-0.021242;0.677621,0.447122,-0.032395","0.725529,0.648189,-0.004202;0.734419,0.559535,-0.020867;0.733405,0.503960,-0.032924;0.728826,0.454412,-0.039784","0.761631,0.677302,-0.019985;0.778685,0.609255,-0.029912;0.787907,0.566413,-0.031293;0.793282,0.527016,-0.031675",index2,thumb1
"0.633646,0.856295,-0.022174;0.611380,0.773945,-0.034434;0.622989,0.710486,-0.047309;0.630138,0.650072,-0.059758","0.649333,0.647940,-0.008808;0.665947,0.562627,-0.030884;0.682162,0.510661,-0.052298;0.698662,0.464349,-0.068183","0.683450,0.647490,-0.016649;0.704523,0.541036,-0.034775;0.718532,0.472961,-0.054417;0.729855,0.412936,-0.069255","0.711383,0.667842,-0.029624;0.718070,0.570990,-0.048906;0.718102,0.512261,-0.065129;0.718618,0.461298,-0.076778","0.736802,0.704823,-0.045748;0.731746,0.628408,-0.064505;0.721969,0.580332,-0.075354;0.711560,0.537565,-0.083140",index2,pinky5
"0.641734,0.832828,-0.022877;0.624666,0.744507,-0.029472;0.657539,0.678262,-0.036032;0.700078,0.646524,-0.043087","0.648791,0.631937,-0.000723;0.649220,0.537755,-0.010364;0.656114,0.478566,-0.022094;0.661920,0.428827,-0.033564","0.690717,0.636342,-0.006483;0.709211,0.542211,-0.015272;0.719320,0.485488,-0.030194;0.723819,0.442407,-0.043187","0.725069,0.659691,-0.017292;0.741265,0.571307,-0.038839;0.735174,0.524691,-0.062397;0.726826,0.493871,-0.079094","0.751970,0.693391,-0.029913;0.738119,0.626742,-0.057364;0.712523,0.639446,-0.070361;0.689676,0.668013,-0.078951",pinky5,thumb1
"0.637644,0.801845,-0.016810;0.624789,0.707135,-0.024780;0.645292,0.636971,-0.033492;0.683563,0.624019,-0.040740","0.667270,0.631312,-0.012552;0.677652,0.543040,-0.022855;0.686708,0.490294,-0.029102;0.693907,0.446733,-0.035485","0.704781,0.635391,-0.015574;0.731218,0.546097,-0.033508;0.740625,0.486114,-0.047346;0.748147,0.442017,-0.056710","0.737628,0.655782,-0.020375;0.746183,0.585119,-0.041842;0.712235,0.599742,-0.045255;0.684832,0.621043,-0.042490","0.767894,0.684511,-0.026822;0.787712,0.616814,-0.044598;0.798853,0.573334,-0.050803;0.807742,0.533766,-0.052727",ring4,thumb1
"0.639487,0.815638,-0.018620;0.597760,0.740528,-0.032530;0.574890,0.668703,-0.049210;0.614914,0.636175,-0.063172","0.649983,0.647800,0.005417;0.637473,0.590704,-0.031918;0.621697,0.609924,-0.063492;0.613120,0.641130,-0.079078","0.685234,0.628461,-0.000151;0.686877,0.533430,-0.017147;0.683317,0.470978,-0.030545;0.679568,0.418943,-0.038429","0.724167,0.635464,-0.013341;0.729191,0.544646,-0.029884;0.730525,0.490092,-0.036435;0.728417,0.443099,-0.038311","0.761007,0.664273,-0.029560;0.781201,0.601354,-0.037946;0.794282,0.562978,-0.035942;0.802967,0.530096,-0.032881",index2,thumb1
"0.609775,0.852359,-0.025730;0.560068,0.772747,-0.033859;0.535702,0.692636,-0.041073;0.516983,0.628280,-0.046307","0.605658,0.651005,0.001846;0.609420,0.558461,-0.011272;0.616600,0.505326,-0.025971;0.624397,0.459862,-0.037171","0.641658,0.640700,0.000559;0.643886,0.540589,-0.009627;0.646869,0.477919,-0.022237;0.649389,0.427585,-0.031645","0.675765,0.646847,-0.006743;0.676016,0.550056,-0.020711;0.673362,0.491232,-0.030468;0.671555,0.440561,-0.037079","0.712568,0.666335,-0.017479;0.725709,0.586587,-0.030770;0.733218,0.536352,-0.036567;0.739114,0.491620,-0.040147",ring4,middle3
"0.627585,0.826214,-0.019674;0.584054,0.751560,-0.032933;0.571429,0.678149,-0.049193;0.612493,0.643174,-0.062788","0.631851,0.649954,0.004788;0.622268,0.583506,-0.030610;0.611152,0.615875,-0.060139;0.608306,0.658736,-0.074525","0.669023,0.631185,-0.000202;0.670293,0.535400,-0.014589;0.666070,0.475175,-0.027887;0.662315,0.422972,-0.036821","0.709965,0.637637,-0.013057;0.715498,0.544587,-0.029462;0.715782,0.487641,-0.041067;0.713506,0.440093,-0.047538","0.749391,0.666731,-0.028823;0.773131,0.606664,-0.039679;0.787758,0.568443,-0.042490;0.799660,0.536582,-0.043356",index2,thumb1
"0.656350,0.794498,-0.010219;0.630057,0.693903,-0.012273;0.638753,0.616786,-0.016276;0.679750,0.604220,-0.020115","0.679103,0.637154,0.016560;0.684668,0.554801,0.011235;0.688266,0.503890,0.002232;0.695418,0.457239,-0.008769","0.713727,0.636848,0.008655;0.719106,0.564704,-0.017541;0.700757,0.571572,-0.033746;0.687603,0.595765,-0.036152","0.748239,0.647547,-0.002662;0.759477,0.563313,-0.017587;0.760073,0.503011,-0.029703;0.762428,0.454125,-0.036243","0.784342,0.673420,-0.015632;0.804741,0.624724,-0.021416;0.815539,0.591354,-0.025166;0.824332,0.563070,-0.029049",middle3,thumb1
"0.610983,0.821236,-0.018165;0.584526,0.730648,-0.022393;0.591225,0.649518,-0.028570;0.608673,0.580222,-0.032465","0.650497,0.640423,0.026804;0.672350,0.554579,0.019057;0.692557,0.499875,0.005883;0.713941,0.454911,-0.004467","0.685510,0.640626,0.022200;0.699009,0.541992,0.019852;0.713260,0.481107,0.011763;0.726745,0.434080,0.005154","0.719303,0.658184,0.009987;0.727591,0.561869,0.001240;0.732497,0.503148,-0.006424;0.738146,0.454009,-0.012379","0.758839,0.688425,-0.006003;0.782732,0.611883,-0.016090;0.793685,0.563336,-0.021389;0.802296,0.516970,-0.025493",ring4,index2
"0.610397,0.821499,-0.019114;0.582017,0.728881,-0.023314;0.582453,0.647077,-0.028422;0.596022,0.580400,-0.031335","0.649835,0.640411,0.018857;0.670566,0.558374,0.007145;0.690021,0.508205,-0.008476;0.710180,0.464499,-0.020467","0.684301,0.640016,0.015430;0.701467,0.543238,0.007956;0.716973,0.483671,-0.004073;0.731138,0.435127,-0.012985","0.716378,0.658331,0.005525;0.728234,0.566609,-0.006163;0.736928,0.505272,-0.014716;0.745215,0.454936,-0.020539","0.751828,0.693510,-0.007742;0.776077,0.625279,-0.016691;0.788544,0.581763,-0.019361;0.798081,0.543511,-0.021338",ring4,index2
"0.640503,0.818488,-0.016949;0.618765,0.722271,-0.028296;0.619076,0.651592,-0.040992;0.653334,0.616141,-0.052431","0.663801,0.638141,0.006816;0.675423,0.545762,-0.009065;0.683441,0.490686,-0.022485;0.696671,0.442471,-0.035097","0.697498,0.642520,-0.002645;0.694668,0.572317,-0.046645;0.674423,0.612556,-0.063871;0.665680,0.658453,-0.061693","0.733252,0.656655,-0.017090;0.741203,0.567112,-0.044169;0.740739,0.503969,-0.052572;0.743990,0.445416,-0.053388","0.770503,0.685085,-0.033489;0.792418,0.622654,-0.044874;0.805203,0.580657,-0.045108;0.815058,0.536433,-0.044704",thumb1,middle3
"0.692217,0.807951,-0.023239;0.682662,0.723607,-0.028921;0.724663,0.666671,-0.032854;0.767547,0.647238,-0.037102","0.681885,0.623795,-0.007664;0.685771,0.530834,-0.016975;0.693131,0.472903,-0.027610;0.698459,0.425712,-0.037609","0.723050,0.622229,-0.009673;0.731191,0.536980,-0.015862;0.738280,0.484895,-0.028230;0.741921,0.444649,-0.039386","0.759203,0.641695,-0.015713;0.778196,0.573589,-0.030521;0.780411,0.531045,-0.048992;0.777791,0.495524,-0.063261","0.791222,0.676926,-0.023805;0.791715,0.631281,-0.043410;0.776095,0.639242,-0.051934;0.759123,0.652026,-0.057928",pinky5,thumb1
"0.639079,0.850393,-0.027279;0.603890,0.762739,-0.040056;0.609218,0.678232,-0.051702;0.613747,0.603912,-0.060986","0.648098,0.641061,-0.006702;0.656362,0.548779,-0.027185;0.672098,0.487640,-0.046438;0.690314,0.436377,-0.059777","0.682275,0.632614,-0.008831;0.679089,0.525842,-0.022902;0.684755,0.463098,-0.034702;0.692823,0.411788,-0.042981","0.717523,0.644475,-0.017127;0.713378,0.542635,-0.032759;0.711160,0.481151,-0.039995;0.712546,0.428963,-0.044969","0.758691,0.672093,-0.029501;0.771455,0.586461,-0.043597;0.776151,0.532143,-0.048668;0.778443,0.483018,-0.051714",ring4,index2
"0.666146,0.794124,-0.009329;0.630749,0.711128,-0.011044;0.623328,0.635505,-0.015587;0.651098,0.612635,-0.018184","0.682310,0.651954,0.018632;0.675732,0.590596,-0.001001;0.663519,0.581203,-0.019641;0.652487,0.591103,-0.028980","0.716681,0.639225,0.013036;0.716336,0.552853,0.005773;0.710703,0.494948,-0.004336;0.705021,0.448916,-0.010673","0.750730,0.646788,0.001866;0.754501,0.566559,-0.006033;0.752182,0.515163,-0.011850;0.747707,0.472935,-0.014935","0.785956,0.670575,-0.011525;0.799856,0.616531,-0.015702;0.805472,0.582231,-0.014762;0.806862,0.551405,-0.013535",index2,thumb1
"0.648320,0.810486,-0.019052;0.611091,0.724263,-0.021956;0.612572,0.641387,-0.024373;0.611850,0.572612,-0.025377","0.647426,0.634761,0.010733;0.632971,0.549326,0.005510;0.628911,0.498227,-0.001812;0.626843,0.453065,-0.008598","0.688084,0.627109,0.008018;0.691488,0.544989,0.002167;0.700025,0.496029,-0.007709;0.707222,0.455169,-0.014879","0.722423,0.635514,0.000014;0.729091,0.548672,-0.011690;0.735267,0.486621,-0.022132;0.740061,0.434281,-0.029065","0.754838,0.651222,-0.010311;0.750928,0.573315,-0.021113;0.748725,0.527529,-0.024998;0.746299,0.488645,-0.027744",pinky5,ring4
"0.650491,0.803166,-0.020759;0.613041,0.718427,-0.025995;0.608258,0.639698,-0.030122;0.601599,0.572269,-0.033708","0.667200,0.623451,-0.002665;0.659760,0.536229,-0.015502;0.661545,0.484126,-0.028616;0.664860,0.438565,-0.038061","0.706242,0.614232,-0.005297;0.708368,0.517668,-0.015401;0.710779,0.455492,-0.028969;0.713338,0.405939,-0.038869","0.740027,0.624139,-0.012523;0.749670,0.533849,-0.026414;0.754375,0.472022,-0.039437;0.758658,0.419583,-0.048032","0.770527,0.647238,-0.022025;0.774553,0.570902,-0.035553;0.773055,0.521603,-0.042476;0.770723,0.477753,-0.047013",ring4,pinky5
"0.659752,0.792132,-0.012906;0.618986,0.713856,-0.019408;0.609858,0.638867,-0.028634;0.646760,0.614181,-0.035537","0.675439,0.641600,0.013985;0.672840,0.574076,-0.010747;0.659903,0.579559,-0.033496;0.649969,0.601378,-0.044867","0.708878,0.628774,0.008373;0.711497,0.541698,-0.000608;0.706306,0.486203,-0.011282;0.700511,0.440418,-0.018555","0.742702,0.636605,-0.003723;0.746724,0.551513,-0.013930;0.746948,0.497936,-0.021509;0.745427,0.452491,-0.025879","0.777135,0.660465,-0.018262;0.789342,0.595471,-0.024567;0.795415,0.554604,-0.024702;0.799104,0.517315,-0.024347",index2,thumb1
"0.663855,0.804007,-0.016938;0.635602,0.699623,-0.020322;0.637843,0.619384,-0.024431;0.636541,0.550472,-0.027833","0.702231,0.611972,0.008764;0.724663,0.529689,-0.002372;0.745467,0.480065,-0.015139;0.764386,0.438130,-0.025674","0.739363,0.616927,0.001120;0.772833,0.527582,-0.008115;0.798520,0.472479,-0.021189;0.819799,0.425159,-0.031572","0.765821,0.637855,-0.012359;0.789401,0.546103,-0.028687;0.808666,0.485464,-0.043165;0.824161,0.433118,-0.053242","0.786578,0.667946,-0.028284;0.786582,0.586784,-0.046353;0.782880,0.535790,-0.056879;0.778375,0.490905,-0.064433",pinky5,middle3
"0.651004,0.814338,-0.024688;0.609331,0.724796,-0.033162;0.598749,0.645932,-0.040473;0.592582,0.575855,-0.045574","0.672130,0.623463,-0.002247;0.680689,0.529938,-0.015790;0.691455,0.476402,-0.029240;0.701513,0.429098,-0.039327","0.711919,0.627223,-0.004130;0.734841,0.537568,-0.017351;0.751517,0.479264,-0.030941;0.763851,0.428413,-0.040526","0.742755,0.642770,-0.011581;0.751345,0.552743,-0.027885;0.750146,0.494927,-0.039802;0.747606,0.446329,-0.046806","0.771620,0.665273,-0.022022;0.769170,0.583060,-0.036549;0.764984,0.532043,-0.043312;0.759646,0.488751,-0.047138",middle3,pinky5
"0.656899,0.790831,-0.010747;0.629283,0.695091,-0.013871;0.637274,0.622088,-0.019225;0.678491,0.602211,-0.024206","0.678112,0.636264,0.016061;0.684668,0.550555,0.010620;0.687863,0.499473,0.001690;0.694514,0.452262,-0.008872","0.710063,0.635962,0.008473;0.714542,0.564210,-0.016560;0.696516,0.569932,-0.032899;0.684500,0.594977,-0.035898","0.743098,0.645089,-0.002471;0.753015,0.563023,-0.014488;0.753443,0.506150,-0.024484;0.756036,0.462471,-0.029958","0.777486,0.669331,-0.015504;0.793975,0.618996,-0.018057;0.801605,0.584156,-0.019714;0.808229,0.556014,-0.022129",middle3,thumb1
"0.655217,0.797218,-0.023745;0.619432,0.717399,-0.034813;0.614358,0.644133,-0.044823;0.633512,0.583803,-0.053009","0.671188,0.621228,-0.007076;0.674424,0.532628,-0.025073;0.681073,0.477561,-0.041510;0.689382,0.431655,-0.053820","0.707942,0.617322,-0.010040;0.713251,0.522430,-0.025553;0.719447,0.459468,-0.040374;0.724705,0.407238,-0.050949","0.742547,0.631277,-0.017979;0.747863,0.536515,-0.036502;0.750657,0.476561,-0.048309;0.752510,0.423479,-0.056138","0.778250,0.660477,-0.028498;0.799196,0.590309,-0.045172;0.811860,0.544310,-0.052715;0.820686,0.500549,-0.057566",index2,middle3
"0.662318,0.786416,-0.020156;0.627426,0.705722,-0.030389;0.610198,0.637131,-0.042092;0.634282,0.587582,-0.049878","0.681060,0.633541,0.006472;0.674164,0.565055,-0.023582;0.662242,0.595834,-0.049121;0.656293,0.631711,-0.061339","0.717341,0.620959,0.003869;0.722159,0.528053,-0.008326;0.723060,0.471230,-0.021095;0.724055,0.419430,-0.029676","0.753827,0.632444,-0.006096;0.764160,0.550311,-0.020345;0.770078,0.499814,-0.029720;0.773123,0.455334,-0.034515","0.787523,0.662176,-0.018733;0.812260,0.608221,-0.027338;0.828605,0.574337,-0.027870;0.841349,0.544109,-0.027045",thumb1,index2
"0.668897,0.783581,-0.016907;0.652425,0.690115,-0.023811;0.672628,0.617869,-0.032168;0.715757,0.602622,-0.038752","0.703014,0.626185,-0.004346;0.711305,0.546116,-0.014165;0.717631,0.500787,-0.020972;0.720201,0.460781,-0.028418","0.735631,0.625983,-0.007548;0.760496,0.546205,-0.028231;0.763995,0.495773,-0.043916;0.763921,0.455626,-0.054069","0.763390,0.640257,-0.013273;0.771016,0.565686,-0.038324;0.737415,0.590169,-0.043017;0.710817,0.619051,-0.040222","0.790235,0.662964,-0.020763;0.807602,0.597755,-0.040503;0.814162,0.551648,-0.049066;0.818260,0.508722,-0.052907",ring4,thumb1
"0.671958,0.797262,-0.012868;0.660785,0.706922,-0.015120;0.686119,0.640005,-0.020865;0.722196,0.608559,-0.026740","0.697658,0.617084,0.012771;0.699880,0.533720,0.006645;0.702294,0.483337,-0.001810;0.702646,0.438756,-0.010817","0.735744,0.619891,0.003873;0.761925,0.527396,-0.004021;0.768733,0.472255,-0.016298;0.769593,0.431779,-0.027031","0.766277,0.641383,-0.009342;0.784757,0.544562,-0.031758;0.764119,0.532422,-0.049383;0.745286,0.541708,-0.059117","0.789515,0.672493,-0.023618;0.783502,0.601576,-0.047908;0.757818,0.611740,-0.057867;0.737341,0.643542,-0.063321",pinky5,thumb1
"0.658750,0.788481,-0.020287;0.631302,0.700616,-0.026933;0.634558,0.623866,-0.032990;0.654056,0.565339,-0.037332","0.689131,0.620071,0.002904;0.702436,0.536123,-0.010284;0.714269,0.482684,-0.024615;0.725873,0.437702,-0.035862","0.725945,0.620697,0.000132;0.735577,0.531922,-0.010635;0.741481,0.473374,-0.024285;0.745357,0.423766,-0.034624","0.759183,0.637618,-0.007413;0.772756,0.549968,-0.021733;0.779101,0.494772,-0.032314;0.783056,0.446980,-0.039665","0.793249,0.669127,-0.017452;0.813669,0.601958,-0.031552;0.823867,0.558723,-0.037822;0.830463,0.517567,-0.041738",middle3,index2
"0.666260,0.785007,-0.009735;0.645269,0.690243,-0.011819;0.654829,0.614362,-0.016489;0.688663,0.576075,-0.020292","0.693862,0.635522,0.021144;0.702067,0.558024,0.016784;0.704330,0.510450,0.008054;0.704988,0.468551,-0.001851","0.727139,0.639347,0.013861;0.732312,0.566227,-0.008238;0.711171,0.547225,-0.026692;0.689348,0.550588,-0.033685","0.759505,0.651822,0.003096;0.771269,0.577382,-0.011564;0.765727,0.530169,-0.022901;0.757623,0.497259,-0.028410","0.793454,0.676882,-0.009464;0.819058,0.623484,-0.016566;0.829219,0.581680,-0.022047;0.833087,0.546884,-0.026280",middle3,thumb1
